shortName,role,xD_per_90,danger_passes_per_90
K. De Bruyne,Midfielder,0.6149865887389,5.0437828371278455
J. Grealish,Forward,0.4778636670344603,5.633587786259542
M. Kovačić,Midfielder,0.4744722112978041,3.8488576449912126
M. Ødegaard,Midfielder,0.4739976257631529,4.090909090909091
T. Alexander-Arnold,Defender,0.4633078751743916,4.653739612188366
J. Doku,Forward,0.4497343085137154,3.90325271059216
R. Nelson,Forward,0.4326050110812506,4.406779661016949
Rúben Dias,Defender,0.41231977324046293,2.271487039563438
Bruno Fernandes,Midfielder,0.40887220686720993,3.9327731092436973
J. Maddison,Midfielder,0.40878691918748933,3.6986301369863015
Savinho,Forward,0.39982326119637274,3.513853904282116
B. Saka,Forward,0.3979765559875461,4.100549882168107
Mohamed Salah,Forward,0.39625239863775913,3.9510489510489513
E. Fernández,Midfielder,0.3899336506321281,3.367205542725173
A. Iwobi,Midfielder,0.3877766497940856,3.4047919293820934
İ. Gündoğan,Midfielder,0.3874078396546385,3.757115749525617
T. Cairney,Midfielder,0.3829582573827132,4.889643463497453
D. Kulusevski,Forward,0.3761459163653329,3.391544117647059
Bernardo Silva,Midfielder,0.3717828331450981,3.4968431277319088
P. Foden,Forward,0.36631756092009593,3.0161579892280073
I. Maatsen,Defender,0.3624007465350269,4.220689655172414
J. Gvardiol,Defender,0.36214242649484446,3.0570157703194503
M. Akanji,Defender,0.36079869229168204,3.26125073056692
K. Walker,Defender,0.355844013246104,4.160804020100502
C. Gakpo,Forward,0.34782722073038447,3.629528366370472
A. Lallana,Midfielder,0.3455775173287888,2.8536585365853657
J. Sancho,Forward,0.3434198147569396,2.8086838534599727
M. Damsgaard,Midfielder,0.34268968423157015,2.894149173738276
Matheus Nunes,Midfielder,0.34038685436007876,2.2646784715750234
A. Wharton,Midfielder,0.3312274138529765,2.903225806451613
A. Robinson,Defender,0.33062081050938874,2.899803536345776
D. Szoboszlai,Midfielder,0.3284677675377176,4.130105900151286
Bruno Guimarães,Midfielder,0.32640787061998966,3.0677618069815193
A. Mac Allister,Midfielder,0.32460213501728413,3.8253152732368054
K. Trippier,Defender,0.3242865275949331,1.7857142857142858
A. Robertson,Defender,0.32382830384447936,3.6176470588235294
N. Madueke,Forward,0.32320463029676594,2.3045822102425877
C. Palmer,Midfielder,0.3218465697559352,3.3496932515337425
Son Heung-Min,Forward,0.32176154579250066,3.8842105263157896
João Félix,Forward,0.3210760370389734,2.7209302325581395
A. Gordon,Forward,0.31821008907127096,2.711864406779661
Pedro Porro,Defender,0.31734229364215777,2.6183239253148067
B. Gruda,Forward,0.31435003254071603,2.937062937062937
Casemiro,Midfielder,0.3139270646365232,3.3904109589041096
Jorginho,Midfielder,0.3133713108728549,1.5873015873015872
M. Gusto,Defender,0.31281592276922654,2.4921334172435494
L. Trossard,Forward,0.31069598568307977,2.4524421593830334
T. Werner,Forward,0.31015194362236737,1.5075376884422111
L. Díaz,Forward,0.3082733590989874,3.6627906976744184
C. Romero,Defender,0.3071635310679983,2.1990950226244346
E. Nwaneri,Midfielder,0.3056098641145548,1.4776119402985075
T. Partey,Midfielder,0.30152646981035014,2.401628222523745
A. Diallo,Midfielder,0.2977631500739023,2.98159509202454
R. Lewis,Defender,0.2961167900487722,2.039511911679256
Y. Tielemans,Midfielder,0.2955289478738584,2.5961538461538463
K. Mitoma,Midfielder,0.29525574202727595,2.458386683738796
M. Gibbs-White,Midfielder,0.29513320989882497,2.8444444444444446
Pedro Neto,Forward,0.2937943850427468,2.593984962406015
A. Webster,Defender,0.28980669274109844,1.6901408450704225
Lucas Paquetà,Midfielder,0.2885701062224229,2.1963123644251628
M. Caicedo,Midfielder,0.28596339991932407,2.969363707776905
R. Gravenberch,Midfielder,0.28548089683085376,2.9418886198547214
D. Rice,Midfielder,0.2848384574948627,2.0756457564575648
H. Barnes,Forward,0.2829208303698006,2.2522522522522523
D. McNeil,Midfielder,0.280974264229716,2.364273204903678
L. Dunk,Defender,0.28020794898598483,1.9936708860759493
Gabriel Martinelli,Forward,0.2795046278803681,2.1774193548387095
Adama Traoré,Forward,0.2794813302315178,2.6577181208053693
Andreas Pereira,Midfielder,0.27942502469600156,2.321867321867322
João Pedro,Forward,0.2781412721389175,2.4550203134068487
J. Murphy,Midfielder,0.2777583044857131,1.9416909620991254
C. Eriksen,Midfielder,0.2773392198365715,2.408759124087591
V. van Dijk,Defender,0.27663455943504045,1.896551724137931
Pablo Sarabia,Forward,0.2766008943053827,1.76759410801964
Y. Minteh,Forward,0.2736813259637115,1.3432835820895523
Omar Marmoush,Forward,0.2712312299378298,1.6701030927835052
M. Rashford,Forward,0.2700812664285526,2.8817733990147785
J. Enciso,Forward,0.2686552040044844,2.6384364820846904
R. Bentancur,Midfielder,0.26824929640945844,2.8941176470588235
J. van Hecke,Defender,0.2680317014503782,2.3481608212147136
R. James,Defender,0.2676284001146997,1.6666666666666667
K. Tsimikas,Defender,0.2670277442597134,1.8848167539267016
S. Mavididi,Forward,0.2666414874903371,1.8329938900203666
B. Mbeumo,Forward,0.2664511567142829,2.4202842873607375
L. Colwill,Defender,0.266361896570146,2.111111111111111
L. Bailey,Forward,0.2661997287735317,1.4962593516209477
M. Rogers,Forward,0.2661418034143943,2.3047375160051216
J. Gomez,Defender,0.26410787337355407,2.7016885553470917
Mikel Merino,Midfielder,0.26327869688635624,1.7409587888982339
L. Hall,Defender,0.26316430844993416,2.320217096336499
Matheus Cunha,Forward,0.2625334848755617,2.0483046911286578
T. Adarabioyo,Defender,0.2575868939684762,2.3220640569395017
Gabriel Magalhaes,Defender,0.2571611162619507,1.6091954022988506
